Target,Function Target,Number of Alpha Carbons in Target,Distance,Reference
target_6XZK_ca,,181,0.8903955009864332,ref_Halisarca_caerulea_CRCL_3_filtered_Ca
target_8GYN_ca,,175,0.8909950108598763,ref_Trichoplax__adhaerens_CRCL_1_filtered_Ca
target_7Y8D_ca,,153,0.8917119795147629,ref_Suberites_domuncula_CRCL_2_filtered_Ca
target_7CQV_ca,,180,0.892265918791371,ref_Mnemiopsis_leidyi_CRCL_1_filtered_Ca
target_7KVX_ca,,164,0.8924542442983622,ref_Orbicella_faveolata_CRCL_1_filtered_Ca
target_7CQV_ca,,153,0.8928012693114719,ref_Suberites_domuncula_CRCL_2_filtered_Ca
target_6XZK_ca,,204,0.8929823105520904,ref_Homo_sapiens_CRCL_10_filtered_Ca
target_7CIW_ca,,184,0.8941137278834209,ref_Stylophora_pistillata_CRCL_8_all_Ca
target_7CIW_ca,,181,0.8941669858752402,ref_Gallus_gallus_CRCL_6_filtered_Ca
target_7PO9_ca,,198,0.8944000831139987,ref_Xenopus_tropicalis_CRCL_9_all_Ca
target_7CIW_ca,,198,0.8948898093028931,ref_Xenopus_tropicalis_CRCL_9_all_Ca
target_8GYN_ca,,141,0.8950848009413743,ref_Strongylocentrotus_purpuratus_CRCL_3_filtered_Ca
target_7CIV_ca,,176,0.8955658066605592,ref_Danio_rerio_CRCL_10_filtered_Ca
target_7Y8D_ca,,162,0.8961352738537556,ref_Stylophora_pistillata_CRCL_3_filtered_Ca
target_7CQV_ca,,164,0.8967531082090449,ref_Haliclona_tubifera_CRCL_3_filtered_Ca
target_7CIX_ca,,170,0.8967704092520772,ref_Hormiphora_californensis_CRCL_1_filtered_Ca
target_7Y8D_ca,,164,0.8970805863683508,ref_Orbicella_faveolata_CRCL_1_filtered_Ca
target_6XZV_ca,,174,0.8973344977777713,ref_Gallus_gallus_CRCL_7_all_Ca
target_8GYN_ca,,165,0.8979983841649769,ref_Danio_rerio_CRCL_9_filtered_Ca
target_6XZK_ca,,174,0.898253635909599,ref_Gallus_gallus_CRCL_7_all_Ca
target_6VJ8_ca,,176,0.8983640775922259,ref_Danio_rerio_CRCL_10_filtered_Ca
target_7Y8D_ca,,167,0.8984957781937246,ref_Trichoplax_adhaerens_CRCL_1_filtered_Ca
target_7CQV_ca,,155,0.8993901913136286,ref_Oscarella_lobularis_CRCL_1_filtered_Ca
target_7CIX_ca,,174,0.8995929467672604,ref_Gallus_gallus_CRCL_7_all_Ca
